dataset_name,fraction,num_providers,type_partition,num_objects,num_attributes,density,context_sensitivity,threshold,global_stability,Runtime,CPU_Usage,RAM_Usage,RAM_Used
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.8,0.5,0.925,603.6197609901428,0.0,13.4,1.3812026977539062
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.9,0.5,0.859375,603.7330749034882,0.0,13.4,1.3811931610107422
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.1,0.8,0.8228888888888889,603.8475153446198,0.0,13.4,1.3811836242675781
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.2,0.8,0.8333333333333334,603.971029996872,4.75,13.4,1.3811721801757812
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.30000000000000004,0.8,1.0,604.0922186374664,2.4,13.4,1.3811702728271484
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.4,0.8,1.0,604.2056019306183,2.4,13.4,1.3811607360839844
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.5,0.8,1.0,604.3212153911591,0.0,13.4,1.3811511993408203
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.6,0.8,0.8793200000000001,604.4347720146179,5.0,13.4,1.3811416625976562
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.7000000000000001,0.8,0.8426875,604.5485384464264,0.0,13.4,1.3811416625976562
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.8,0.8,1.0,604.6626641750336,0.0,13.4,1.3811416625976562
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.9,0.8,1.0,604.7764081954956,0.0,13.4,1.3811416625976562
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.1,0.0,0.6496926325040902,604.8899748325348,2.4,13.4,1.3811416625976562
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.2,0.0,0.7771433942830724,605.0164620876312,10.0,13.4,1.3811416625976562
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.30000000000000004,0.0,0.5693324030527236,605.1404016017914,0.0,13.4,1.3810787200927734
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.4,0.0,0.6282144906940891,605.2642877101898,0.0,13.4,1.3810787200927734
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.5,0.0,0.6490069008714596,605.3885011672974,2.4,13.4,1.3810443878173828
